id	w	p	l	c1	c2	pred
1398	convention	N	T	Political convention .	The EU installed an inter-institutional Convention to draft a European constitution .	T
1399	window	N	T	They had a window of less than an hour when an attack would have succeeded .	Launch window .	T
1400	night	N	F	How do you sleep at night when you attack your kids like that ! ?	It vanished into the night .	F
1401	series	N	F	A comedy series .	His coin collection included the complete series of Indian-head pennies .	F
1402	come	V	T	She could not come because she was too upset .	He came after a few minutes .	F
1403	replace	V	F	We need to replace the secretary that left a month ago .	Mary replaced Susan as the team 's captain and the highest-ranked player in the school .	F
1404	break	V	F	Is it your or my turn to break ?	Things began breaking bad for him when his parents died .	F
1405	travel	N	T	He enjoyed selling but he hated the travel .	Travel to Spain .	F
1406	cut	V	T	Cut a hole .	The sweat cut little rivulets into her face .	F
1407	hang	V	F	Hang a door .	Hang the venison for a few days .	T
1408	leave	N	F	She was granted leave to speak .	He took his leave .	T
1409	bear	V	T	Bear a resemblance .	Bear a signature .	F
1410	degree	N	F	He earned his degree at Princeton summa cum laude .	There are 360 degrees in a circle .	F
1411	connection	N	F	The connection between overeating and obesity .	There was a connection between eating that pickle and having that nightmare .	T
1412	militate	V	T	To militate against the possibility of his election .	Politeness militated against this opinion being expressed .	T
1413	language	N	T	The language introduced is standard throughout the text .	He taught foreign languages .	F
1414	wildness	N	T	Liza had always had a tendency to wildness .	The element of wildness in his behavior was a protest against repressive convention .	T
1415	escape	N	F	They tried to stop the escape of gas from the damaged pipe .	The prisoners made their escape by digging a tunnel .	F
1416	academy	N	F	The Academy of Music .	Academies of literature and philology .	T
1417	know	V	F	I know Latin .	Adam knew Eve .	F
1418	lady	N	T	A lady doctor .	A chauffeur opened the door of the limousine for the grand lady .	T
1419	night	N	T	From noon till night .	They worked from morning to night .	T
1420	carry	V	F	He had drunk more than he could carry .	The troops carried the town after a brief fight .	F
1421	suck	V	F	Suck the poison from the place where the snake bit .	This sucks !	F
1422	book	N	F	He bought a book of stamps .	They run things by the book around here .	F
1423	couple	V	T	Now the conductor will couple the train cars .	I 've coupled our system to theirs .	F
1424	back	V	T	I back you all the way .	Back this enterprise .	T
1425	vegetate	V	F	After a hard day 's work , I vegetate in front of the television .	The fields vegetate vigorously .	F
1426	hit	V	F	One boy hit the other .	I have to hit the MAC machine before the weekend starts .	F
1427	run	V	F	Do n't run that software unless you have permission . ' .	The dogs are running deer .	F
1428	run	V	F	Run an errand .	Who are these people running around in the building ?	T
1429	block	N	F	The store is huge , occupying an entire city block .	He reserved a large block of seats .	F
1430	play	V	F	Play with her feelings .	She plays on her clients ' emotions .	T
1431	know	V	T	I know it 's time .	He knows about 19th century politics .	F
1432	define	V	F	I define myself as a techno-anarchist .	Define ` sadness ' .	F
1433	understand	V	T	I understand wanting more .	I understand how to do it .	F
1434	gravitation	N	T	Gravitation can not be held responsible for people falling in love "-- Albert Einstein .	Gravitation är svagare än elektromagnetismen , men påverkar all materia och energi .	F
1435	carry	V	F	These bonds carry warrants .	Sound carries well over water .	F
1436	pay	V	F	Pay a call .	You 'll pay for this !	F
1437	run	V	T	My computer is too old to run the new OS .	I will run the sample .	F
1438	snap	V	F	To snap a whip .	The pipe snapped .	T
1439	work	V	F	Work the raisins into the dough .	Do you want to work after the age of 60 ?	F
1440	arousal	N	T	The mechanism for arousal from sleep .	The animal undergoes regular spells of arousal .	T
1441	space	N	F	They tested his ability to locate objects in space .	The spaces are the notes F-A-C-E .	F
1442	operation	N	T	A multinational operation .	A large-scale farming operation .	T
1443	make	V	T	We should make Cincinnati by 7 tonight .	We barely made it to the finish line .	T
1444	check	N	T	He paid all his bills by check .	I was not carrying cash , so I wrote a check for the amount .	T
1445	appointment	N	T	I 'm leaving work early because I have a doctor 's appointment .	They made an appointment to meet at six .	T
1446	floor	N	F	The fire spared the forest floor .	The room has a wooden floor .	F
1447	lap	N	F	The lap of the shingles should be at least ten inches .	The dog 's laps were warm and wet .	F
1448	give	V	F	Give the orders .	I 'm going to give my wife a necklace for her birthday .	T
1449	grow	V	T	Her hair does n't grow much anymore .	Corn does n't grow here .	F
1450	beat	V	F	Beat one 's breast .	This sure beats work !	F
1451	company	N	T	A hook-and-ladder company .	It took six companies to put out the fire .	T
1452	draw	V	F	Draw a weapon .	Draw a wagon .	F
1453	raise	V	F	We visited a farm where they raise chickens .	A few important questions were raised after the attack .	F
1454	come	V	F	He 's come a long way .	Which letter comes before Y ?	F
1455	head	N	T	12 head of big cattle and 14 head of branded calves .	A reduction in the assessment per head of sheep .	F
1456	stay	V	F	We stayed in Hawaii for a week .	I can only stay for an hour .	T
1457	cup	N	T	The cup of her bra .	He wore a jock strap with a metal cup .	F
1458	life	N	T	Social life .	City life .	T
1459	thing	N	T	She has a thing about him .	He has a thing about seafood .	F
1460	head	N	T	12 head of big cattle and 14 head of branded calves .	At five years of age this head of cattle is worth perhaps $ 40 .	T
1461	breath	N	T	He was fighting to his last breath .	He took a deep breath and dived into the pool .	F
1462	keep	V	F	Can I keep my old stuffed animals ?	She never keeps her promises .	F
1463	hyponym	N	T	Dog is a hyponym of animal .	British is a hyponym of European .	F
1464	post	N	F	If you hurry you 'll catch the post .	This military post provides an important source of income for the town nearby .	F
1465	touch	N	F	Suddenly , in the crowd , I felt a touch at my shoulder .	This dish could use a touch of garlic .	F
1466	fall	V	T	Fall by the wayside .	We must stand or fall .	F
1467	head	N	F	The beer had a large head of foam .	Admission is three dollars a head .	F
1468	scrap	N	T	There was not a scrap left .	She jotted it on a scrap of paper .	T
1469	stand	N	F	They took a firm stand against copyright infringement .	They cut down a stand of trees .	F
1470	block	V	T	Block an attack .	The offensive linemen tried to block the blitz .	T
1471	take	V	T	Take action .	Take vengeance .	F
1472	head	N	F	The head of a comet .	She gave great head .	F
1473	faith	N	F	He cherished the faith of a good woman .	A member of his own faith contradicted him .	T
1474	declare	V	F	Declare dividends .	Declare bankruptcy .	F
1475	work	V	F	He used pliers to work the wire into shape .	The salesman works the Midwest .	F
1476	job	N	F	It is always a job to contact him .	Estimates of the city 's loss on that job ranged as high as a million dollars .	F
1477	bestow	V	T	Bestow an honor on someone .	Medals were bestowed on the winning team .	T
1478	drag	N	F	He took a drag on his cigarette and expelled the smoke slowly .	He performed in drag .	F
1479	grater	N	T	I 'm making coleslaw ; do you know where the grater is ?	Modern cheese graters have more than one side so the cheese can be sliced in different ways .	T
1480	boy	N	T	Steve is a boy of 16 .	She made the boy brush his teeth every night .	T
1481	strike	V	F	We must strike the enemy 's oil fields .	Panic struck me .	F
1482	play	N	T	The ball was still in play .	Insiders said the company 's stock was in play .	F
1483	head	N	F	The head of the list .	I 've got to go to the head .	F
1484	tendency	N	F	Fabric with a tendency to shrink .	Denim has a tendency to fade .	T
1485	gather	V	F	Gather the close family members .	Gather some stones .	T
1486	line	N	F	The answer to the comprehension question can be found in the third line of the accompanying text .	A nice line of shoes .	F
1487	corner	N	F	A corner on the silver market .	A piano was in one corner of the room .	T
1488	correct	V	F	Engineers will work to correct the effects or air resistance .	Correct the mistakes .	F
1489	split	N	F	He inserted the wedge into a split in the log .	He demanded his split before they disbanded .	F
1490	cup	N	T	Put the flag back in the cup .	He swore as the ball rimmed the cup and rolled away .	F
1491	window	N	T	They had a window of less than an hour when an attack would have succeeded .	You have a two-hour window of clear weather to finish working on the lawn .	F
1492	get	V	F	She did n't get to Chicago until after midnight .	Get permission to take a few days off from work .	F
1493	run	N	T	She got a run in her stocking .	I have a run in my stocking .	T
1494	bed	N	F	Slices of hard-boiled egg on a bed of spinach .	Lake bed .	F
1495	due	N	T	Give him his due — he is a good actor .	Give the devil his due .	T
1496	coordinate	V	T	Coordinate our efforts .	Coordinate the painters , masons , and plumbers .	T
1497	population	N	T	The African-American population of Salt Lake City has been increasing .	People come and go , but the population of this town has remained approximately constant for the past decade .	F
1498	feel	V	F	I feel that we need to try harder .	I felt my way cautiously through the dangerous business maneuver .	T
1499	air	N	T	The flock of birds took to the air .	I need some fresh air .	T
1500	communicate	V	T	Many deaf people communicate with sign language .	He and his sons have n't communicated for years .	F
1501	pull	V	T	Pull your knees towards your chin .	Pull the rope .	T
1502	call	N	F	After two raises there was a call .	The characters in Henry James ' novels are forever paying calls on each other , usually in the parlor of some residence .	F
1503	run	V	F	Run riot .	We ran the ad three times .	F
1504	application	N	F	A novel application of electronics to medical diagnosis .	He has tried several different word processing applications .	F
1505	rub	N	T	Give that lamp a good rub and see if any genies come out .	He gave the hood a quick rub .	T
1506	see	V	T	You have to be a good observer to see all the details .	I saw their laughing and joking .	T
1507	grow	V	T	An oak tree will grow from that acorn .	The gardener grew that acorn into an oak tree .	T
1508	take	V	T	How should I take this message ?	You ca n't take credit for this !	F
1509	floor	N	T	The room has a wooden floor .	We spread our sleeping bags on the dry floor of the tent .	T
1510	evil	N	T	Attempts to explain the origin of evil in the world .	Do n't go giving me evils !	F
1511	know	V	T	I know that the President lied to the people .	She knew of our plan .	T
1512	break	V	F	The book dealer would not break the set .	Break off the negotiations .	F
1513	carry	V	F	I carry these thoughts in the back of my head .	Amanda carried the package from home to New York .	F
1514	motion	N	F	Police controlled the motion of the crowd .	He made a motion to adjourn .	F
1515	way	N	F	Do you know the way to the airport ?	They split the loot three ways .	F
1516	pain	N	F	The pain of loneliness .	The patient developed severe pain and distension .	F
1517	flux	N	F	It is important to use flux when soldering or oxides on the metal will prevent a good bond .	His opinions are in flux .	F
1518	come	V	T	Your wish will come true .	Which letter comes before Y ?	F
1519	turn	V	T	Turn your face to the wall .	Turn your dance partner around .	T
1520	time	N	T	It took more than half my time .	Take time to smell the roses .	T
1521	poise	V	T	To poise the scales of a balance .	I poised the crowbar in my hand , and waited .	F
1522	be	V	T	I shall be writing to you soon .	We liked to chat while we were eating .	F
1523	know	V	T	I know it 's time .	She knew of our plan .	T
1524	use	V	T	Use the plastic bags to store the food .	We only use Spanish at home .	F
1525	call	V	F	Call a football game .	I tried to call you all night .	F
1526	principle	N	T	The principle of the internal combustion engine .	The principles of democracy .	F
1527	see	V	F	I want to see whether she speaks French .	I went to see my friend Mary the other day .	T
1528	breath	N	F	Not a breath of scandal ever touched her .	The child 's breath came quickly and unevenly .	F
1529	follow	V	F	Can you follow her argument ?	The police had been following him for weeks but they could not prove his involvement in the bombing .	T
1530	finance	V	T	Can we finance the addition to our home ?	His parents financed his college education .	T
1531	snap	V	T	To snap a whip .	To snap a fastener .	F
1532	test	V	F	She does n't test well .	She tested high on the LSAT and was admitted to all the good law schools .	F
1533	air	N	F	An air of mystery .	The program was on the air from 9 til midnight .	F
1534	hold	V	F	Hold your tongue .	About a dozen animals were held inside the stockade .	F
1535	pass	N	T	A mountain pass .	We got through the pass before it started to snow .	T
1536	head	N	F	A head of cauliflower .	He is two heads taller than his little sister .	T
1537	be	V	T	I shall be writing to you soon .	The sky is a deep blue today .	F
1538	practice	V	T	You should practice playing piano every day .	Pianists practice scales .	T
1539	hand	N	F	On the one hand ... , but on the other hand ...	A good hand .	F
1540	run	V	T	Run a new program on the Mac .	My computer is too old to run the new OS .	F
1541	origin	N	T	Mineral origin .	Origin in sensation .	F
1542	crystallize	V	T	He tried to crystallize his thoughts .	My ideas crystallized overnight .	T
1543	treat	V	F	I like to treat myself to a day at a spa when I am depressed .	Treat the infection with antibiotics .	F
1544	rise	V	F	Rise to a challenge .	The building rose before them .	F
1545	acknowledge	V	T	We must acknowledge the kindness she showed towards us .	* They his gifts acknowledged none . - John Milton .	T
1546	fatigue	N	F	He was hospitalized for extreme fatigue .	He was suffering from museum fatigue .	T
1547	load	V	T	Load the camera .	He loaded his gun carefully .	F
1548	cut	V	F	Cut paper dolls .	The Vietnamese cut a lot of timber while they occupied Cambodia .	F
1549	hold	V	F	Hold in place .	Hold your breath .	F
1550	charge	N	F	This cartridge has a powder charge of 50 grains .	The battery needed a fresh charge .	F
1551	run	N	F	She got a run in her stocking .	The ship made its run in record time .	F
1552	term	N	F	A prison term .	The general term of an algebraic equation of the n-th degree .	F
1553	find	V	F	These aspects of civilization do not find expression or receive an interpretation .	She found that he had lied to her .	F
1554	refill	N	T	He got a refill for his notebook .	He got a refill for his ball-point pen .	T
1555	optimization	N	T	In an optimization problem we seek values of the variables that lead to an optimal value of the function that is to be optimized .	The simultaneous optimization of growth and profitability .	T
1556	call	V	F	The engineer called round whilst you were away .	Call roll .	F
1557	mine	N	T	This diamond comes from a mine in South Africa .	Most coal and ore comes from open-pit mines nowadays .	F
1558	see	V	T	Can you see the bird in that tree ?	I saw her bake the cake .	F
1559	point	N	F	He held me up at the point of a gun .	The one with the most points will win the game .	F
1560	call	N	T	He placed a phone call to London .	I received several calls today .	T
1561	unionize	V	T	We do n't allow people to come into our plant and try to unionize the workers .	My uncle got roughed up by some corporate thugs after they caught him trying to unionize their workers .	T
1562	title	N	F	A good title to an estate , or an imperfect title .	His title to fame .	F
1563	be	V	T	I shall be writing to you soon .	The woman is walking .	F
1564	class	N	F	An emerging professional class .	Flirting is not unknown in college classes .	F
1565	pay	V	F	You 'll pay for this opinion later .	He was allowed to go as soon as he paid .	T
1566	sight	N	F	The sight of his wife brought him back to reality .	To gain sight of land .	T
1567	origin	N	T	The rumor had its origin in idle gossip .	Mineral origin .	F
1568	trump	N	T	A trump can take a trick even when a card of a different suit is led .	Clubs were declared trumps .	T
1569	course	N	F	We offer seafood as the first course .	He took a course in basket weaving .	F
1570	give	V	F	Give a course .	I gave two sons to the war .	F
1571	gather	V	F	Let 's gather in the dining room .	Gather some stones .	F
1572	light	N	F	Although he saw it in a different light , he still did not understand .	Do you have a light ?	F
1573	mine	N	T	He came out of the coal mine with a face covered in black .	Most coal and ore comes from open-pit mines nowadays .	F
1574	be	V	T	I shall be writing to you soon .	This building is three hundred years old .	F
1575	see	V	F	I 'll see you to the door .	I want to see results .	F
1576	play	V	F	Play sports .	Play with her feelings .	F
1577	rig	V	F	Rig an election .	Rig prices .	F
1578	grip	N	T	The grip of a sword .	There are several good grips on the northern face of this rock .	T
1579	series	N	T	The Post Office issued a series commemorating famous American entertainers .	His coin collection included the complete series of Indian-head pennies .	T
1580	give	V	F	Give an excuse .	The roof finally gave under the weight of the ice .	F
1581	work	V	F	She knows how to work the system .	Is your husband working again ?	T
1582	go	V	F	The washing machine wo n't go unless it 's plugged in .	The policemen went from door to door looking for the suspect .	F
1583	beat	V	F	The grandfather clock beat midnight .	Beat one 's breast .	F
1584	hold	V	F	Hold in place .	I hold with those who say life is sacred .	F
1585	demand	N	T	There is a demand for jobs .	There is a demand for voluntary health workers in the poorer parts of Africa and Asia .	T
1586	hold	V	F	To carry well , i.e. to hold the head high , with arching neck .	This theory holds for all irrational numbers .	F
1587	blow	V	F	Blow on the soup to cool it down .	The fuse blew .	F
1588	mean	V	T	I mean to go to Baddeck this summer .	I mean no harm .	F
1589	contact	N	F	Litmus paper turns red on contact with an acid .	They forget to solder the contacts .	F
1590	trouble	N	F	He got several girls in trouble .	One trouble after another delayed the job .	T
1591	crunch	N	T	A financial crunch .	An end-of-the year crunch .	T
1592	meeting	N	F	There was an informal meeting in my living room .	His meeting with the salesmen was the high point of his day .	T
1593	weakness	N	T	The weakness of the dollar against the yen .	In a small number of horses , muscle weakness may progress to paralysis .	F
1594	have	V	F	What do we have here ?	Have , throw , or make a party .	F
1595	line	N	T	A shared line .	Please speak up , the line is very faint .	F
1596	hit	V	F	He tries to hit on women in bars .	He hit a home run .	F
1597	silence	N	F	He needed silence in order to sleep .	He gestured for silence .	T
1598	carry	V	F	Marsupials carry their young in a pouch .	The senator carried his home state .	F
1599	give	V	F	Do n't give the child this tough meat .	Can I give you my keys while I go in the pool ?	F
1600	slip	N	T	He blamed his slip on the ice .	The jolt caused many slips and a few spills .	T
1601	death	N	T	The death of my grandmother saddened the whole family .	Her death came as a terrible shock .	T
1602	stay	V	T	Stay alone .	I can only stay for an hour .	T
1603	wall	N	T	A wall of prejudice .	A wall of smoke .	F
1604	whole	N	T	The whole of American literature .	Europe considered as a whole .	T
1605	escape	N	T	He made his escape from the mental hospital .	The prisoners made their escape by digging a tunnel .	T
1606	get	V	F	Get someone mad .	He got AIDS .	F
1607	check	V	T	Check the brakes .	Check out the engine .	F
1608	history	N	F	All of human history .	The dawn of recorded history .	T
1609	raise	V	F	To raise your walking stick to defend yourself .	Raise a shout .	F
1610	admit	V	T	To admit evidence in the trial of a cause .	We can not admit non-members into our club building .	F
1611	look	V	F	You do n't look your age !	This project looks fishy .	F
1612	title	N	F	He held the title for two years .	He had no documents confirming his title to his father 's estate .	F
1613	empathize	V	T	You really have to empathize .	You really have to empathize with them .	T
1614	side	N	F	It brought out his better side .	The patient was bleeding on the right side .	F
1615	come	V	T	Your wish will come true .	Their anger came to a boil .	F
1616	distress	N	T	A ship in distress .	She was the classic maiden in distress .	T
1617	case	N	F	The accusative case canonically indicates a direct object .	A case of the jitters .	F
1618	depth	N	F	The depth of the water .	From the depths of darkest Africa .	T
1619	see	V	T	I can see a risk in this strategy .	I ca n't see him on horseback !	T
1620	sophisticate	V	F	To sophisticate the understanding . — Southey .	To sophisticate wine . — Howell .	F
1621	shoulder	N	T	The car pulled off onto the shoulder .	He stopped the car on the shoulder of the highway to change the flat tire .	T
1622	go	V	F	The washing machine wo n't go unless it 's plugged in .	The day went well until I got your call .	F
1623	make	V	T	You have to spend money to make money !	She makes more than he does , and works longer hours than he does , but she still does most of the house-cleaning .	F
1624	get	V	F	We 'll get them !	Did you get it ?	T
1625	stretch	V	F	Stretch the imagination .	I always stretch my muscles before exercising .	F
1626	move	V	F	The chairman of the company told the salesmen to move the computers .	She moves in certain circles only .	F
1627	slot	N	F	He followed the deer 's slot over the soft turf to the edge of the trees .	The PC had three slots for additional memory .	F
1628	luck	N	F	The luck of the Irish .	They say luck is a lady .	T
1629	fall	V	T	Fall into a trap .	Fall prey to an imposter .	T
1630	step	V	F	To step to one of the neighbors .	Step off ten yards .	T
1631	touch	V	F	He could not touch the meaning of the poem .	They stood next to each other , their shoulders touching .	F
1632	stick	V	F	Stick your thumb in the crack .	She sticks to her principles .	F
1633	impact	N	T	His friend 's opinion had an impact on his decision .	Our choice of concrete will have a tremendous impact on the building 's mechanical performance .	T
1634	chain	N	T	The third link of the silver chain needs to be resoldered .	This led to an unfortunate chain of events .	F
1635	time	N	T	The time of year for planting .	He waited a long time .	F
1636	carry	V	T	You must carry your camping gear .	Carry the suitcases to the car .	T
1637	tension	N	F	The direction of maximum tension moves asymptotically toward the direction of the shear .	There is a tension between these approaches to understanding history .	F
1638	umbrella	N	T	The Democratic Party is an umbrella for many liberal groups .	Under the umbrella of capitalism .	F
1639	fringe	N	F	The fringe of a picture .	Interference fringe .	F
1640	disband	V	T	The president wanted to disband the scandal-plagued agency .	The principal disbanded the political student organization .	T
1641	draw	V	T	I draw a line here .	Draw parallels .	F
1642	suffer	V	F	If you keep partying like this , your school-work will suffer .	Many saints suffered martyrdom .	F
1643	finish	N	T	It was a fight to the finish .	Booze will be the finish of him .	F
1644	rest	N	F	I need to get a good rest tonight ; I was up late last night .	The gun was steadied on a special rest .	F
1645	sign	N	T	The hunters found deer sign at the end of the trail .	Their angry expressions were a clear sign they did n't want to talk .	F
1646	foot	N	T	The swiftest of foot .	He followed on foot .	T
1647	develop	V	F	We must develop more potential customers .	We develop the leaders for the future .	F
1648	key	N	T	Some students had stolen the key to the final exam .	Some students cheated by using the answer key .	F
1649	move	V	T	To move in a matter .	Come on guys , let 's move : there 's work to do !	T
1650	block	V	T	Block a muscle .	Block a nerve .	F
1651	shot	N	T	He is still recovering from a shot to his leg .	I caught him with a solid shot to the chin .	F
1652	mechanism	N	T	The mechanism of the ear .	The mechanism of infection .	F
1653	leave	N	T	Might I beg leave to accompany you ?	The applicant now seeks leave to appeal and , if leave be granted , to appeal against these sentences .	T
1654	bed	N	F	My cat often sleeps on my bed .	He worked in the coal beds .	F
1655	plagiarism	N	T	Even if it 's not illegal , plagiarism is usually frowned upon .	Copy from one , it 's plagiarism . Copy from two , it 's research .	T
1656	refine	V	T	Refine paper stock .	Refine pig iron .	F
1657	cut	V	F	Cut a Ping-Pong ball .	Cut paper dolls .	T
1658	empathize	V	T	You really have to empathize .	You 've really got to empathize with what they want .	T
1659	time	N	T	The time is 10 o'clock .	Do you know what time it is ?	T
1660	missus	N	T	Harry said he could n't stop and chat because his missus wanted to go shopping .	The missus has a list of chores for me to do this weekend .	T
1661	pay	V	F	Crime does n't pay .	To pay attention .	F
1662	make	V	T	Make a decision .	Make a move .	T
1663	treasure	N	F	The pirates hid their treasure on a small island in the West Indies .	The trunk held all her meager treasures .	T
1664	tab	N	T	Pull the tab to open the can .	The collar has a tab with a button hole .	F
1665	question	N	F	His claim to the property has come under question .	The question of seniority will be discussed at the meeting .	T
1666	space	N	T	They tested his ability to locate objects in space .	Functional analysis is best approached through a sound knowledge of Hilbert space theory .	F
1667	drop	N	T	He had a drop too much to drink .	There is not a drop of pity in that man .	F
1668	production	N	F	She tends to make a big production out of nothing .	They hope to increase spaghetti production next year .	F
1669	catch	V	F	I have to catch a train at 7 o'clock .	Catch one 's breath .	F
1670	come	V	T	Come into the room .	He came from France .	F
1671	crack	V	T	Crack a joke .	The performance was fine until he cracked that dead baby joke .	T
1672	light	N	T	Do you have a light ?	Hey , buddy , you got a light ?	T
1673	drill	V	T	Drill a hole into the wall .	Drill for oil .	F
1674	light	N	F	He finally saw the light .	He stepped into the light .	T
1675	mount	V	T	Mount an attack .	Mount a theater production .	F
1676	pull	V	F	You 'll be sent home if you pull another stunt like that .	I pulled a muscle in my leg when I jumped up .	F
1677	make	V	T	They hope to make a bigger profit .	She made ten points in that game .	T
1678	variant	N	T	The word " kerosine " is a variant of “ kerosene ” .	All breeds of dog are variants of the species “ Canis lupus familiaris ” .	T
1679	work	V	T	He could not work the math problem .	Work out your problems with the boss .	F
1680	presence	N	F	I 'm convinced that there was a presence in that building that I ca n't explain , which led to my heroic actions .	Any painter can benefit from the presence of a live model from which to draw .	F
1681	ulteriority	N	T	A terrible feeling of ulteriority .	Their conversation was limited to ulteriorities .	T
1682	circulation	N	T	A fan aids air circulation .	Ocean circulation is an important part of global climate .	F
1683	break	N	F	He finally got his big break .	It was presented without commercial breaks .	F
1684	life	N	F	He wanted to live his own life without interference from others .	The life of this milk carton may be thousands of years in this landfill .	F
1685	roll	V	F	Roll out the paper .	She rolled the ball .	T
1686	get	V	T	Get an idea .	Get nauseous .	F
1687	pull	V	T	Pull weeds .	He pulled out his gun before she had a chance to scream .	F
1688	beat	V	F	The grandfather clock beat midnight .	Beat swords into ploughshares .	F
1689	court	N	F	The court is now in session .	The girls were playing in the court .	F
1690	raise	V	F	To raise Sandy Hook light .	Raise the specter of unemployment .	F
1691	land	N	T	The plane turned away from the sea and moved back over land .	They come from a faraway land .	T
1692	hinge	N	T	His absence is the hinge of our plan .	This argument was the hinge on which the question turned .	T
1693	lie	V	F	Do n't lie to your parents .	The book lies on the table .	F
1694	mean	V	T	I 'm afraid I do n't understand what you mean .	The sky is red this morning — does that mean we 're in for a storm ?	T
1695	tab	N	T	The collar has a tab with a button hole .	The filing cards were organized by cards having indexed tabs .	F
1696	lyric	N	T	The lyric in line 3 does n't rhyme .	The lyrics were written by the composer .	F
1697	light	N	F	He stepped into the light .	It brought the scandal to light .	F
1698	begin	V	F	Begin a new chapter in your life .	Begin a cigar .	F
1699	period	N	F	Hastened the period of time of his recovery .	In England they call a period a stop .	F
1700	head	N	T	The head of the page .	The head of the list .	T
1701	discover	V	T	The story is false , so far as I can discover .	I discovered how to do it .	F
1702	hold	V	F	Hold these truths to be self-evident .	Hold the bridge against the enemy 's attacks .	F
1703	source	N	F	Pittsburgh is the source of the Ohio River .	He spent hours looking for the source of that quotation .	T
1704	set	V	F	To set pear trees in an orchard .	Set these words in italics .	F
1705	get	V	F	Get nauseous .	She did n't get to Chicago until after midnight .	F
1706	line	N	F	There is a narrow line between sanity and insanity .	Toe the line .	F
1707	raise	V	F	We raise hogs here .	Raise the question of promotions .	F
1708	line	N	F	I ca n't follow your line of reasoning .	Toe the line .	F
1709	pull	N	F	He was sidelined with a hamstring pull .	Iron fillings drawn by the pull of a magnet .	F
1710	hold	V	F	I hold with those who say life is sacred .	Elections will be held on the first Sunday of next month .	F
1711	leave	V	F	She did n't leave until midnight .	I left my keys inside the car and locked the doors .	F
1712	speck	N	T	The plane was just a speck in the sky .	A tiny speck of soot .	T
1713	patter	N	T	The patter of mice .	The patter of tiny feet .	T
1714	fit	V	T	How does this shirt fit ?	The small shirt does n't fit me , so I 'll buy the medium size .	T
1715	give	V	F	Give priority to .	Give bond .	F
1716	come	V	T	Your wish will come true .	The water came to a boil .	F
1717	cut	V	F	If you cut then I 'll deal .	The employer wants to cut back health benefits .	F
1718	play	V	T	Play sports .	Pele played for the Brazilian teams in many important matches .	F
1719	see	V	F	I see that you have been promoted .	We had to see a psychiatrist .	F
1720	normalize	V	T	Normalize relations with China .	Normalize the spelling .	F
1721	act	V	F	She wants to act Lady Macbeth , but she is too young for the role .	The dog acts ferocious , but he is really afraid of people .	F
1722	window	N	T	Window of opportunity .	The expanded window will give us time to catch the thieves .	T
1723	take	V	T	We take all major credit cards .	We took a pay cut .	F
1724	come	V	F	Nothing good will come of this .	Come down here !	F
1725	cover	V	F	Is this enough to cover the check ?	This paint covers well .	F
1726	line	N	F	I tried to make a call , but the line was dead .	Drop me a line when you get there .	F
1727	see	V	F	The artist must first learn to see .	I went to see my friend Mary the other day .	T
1728	authority	N	F	She lost all her respect and authority after turning up drunk to the meeting .	Tennessee Valley Authority .	F
1729	hold	V	F	Hold one 's nose .	I hold with those who say life is sacred .	F
1730	area	N	F	It was a mountainous area .	It was a closed area of employment .	F
1731	limit	N	F	The sequence of reciprocals has zero as its limit .	To the limit of his ability .	F
1732	come	V	F	Nothing good will come of this .	The bill came to $ 2,000 .	F
1733	shame	N	T	The teenager could n't bear the shame of introducing his parents .	One mistake brought shame to all his family .	T
1734	footage	N	T	They had stock footage of lightning , tornados , and hurricanes .	He edited the news footage .	F
1735	go	V	F	Let 's go this way for a while .	Her money went on clothes .	F
1736	fall	V	F	Fall into a trap .	The estate fell to the oldest daughter .	F
1737	note	N	T	It ended on a sour note .	He detected a note of sarcasm .	T
1738	dress	V	F	Dress the windows .	Dress the victim 's wounds .	F
1739	turn	V	F	Turn cartwheels .	Turn the dial to 10 .	F
1740	face	N	T	He washed his face .	She has a pretty face .	T
1741	rustle	V	F	Rustle cattle .	The dry leaves were rustling in the breeze .	F
1742	part	N	F	He tried to sing the tenor part .	His part was right in the middle .	T
1743	hand	N	F	A ranch hand .	Her hands are really strong .	F
1744	language	N	T	He uttered harsh language .	The English language .	F
1745	pressurize	V	T	Pressurize a space suit .	The airplane cabin is pressurized .	T
1746	leave	V	F	Leave your child the nurse 's care .	At her death , she left behind her husband and 11 cats .	F
1747	touch	N	F	He has a touch of rheumatism .	This piano has a wonderful touch .	F
1748	trust	N	F	He needs to regain her trust if he is ever going to win her back .	He betrayed their trust .	T
1749	describe	V	T	The feeling is difficult to describe , but not unpleasant .	He described going to work .	F
1750	charge	V	F	Charge all weapons , shields , and banners .	He charged the director with indifference .	F
1751	use	N	T	The use of torture has been condemned by the United Nations .	He warned against the use of narcotic drugs .	T
1752	play	V	T	Play football .	He plays on three teams .	T
1753	sense	N	T	Common sense is not so common .	He has n't got the sense God gave little green apples .	T
1754	day	N	T	After that day she never trusted him again .	Those were the days .	T
1755	sanitize	V	T	Sanitize a document before releasing it to the press .	Sanitize history .	T
1756	shower	V	F	You should shower after vigorous exercise .	He showered her with presents .	F
1757	action	N	F	A man of action .	He saw action in Korea .	T
1758	power	N	T	The power of his love saved her .	The deterrent power of nuclear weapons .	F
1759	notice	N	F	He gave notice two months before he moved .	He took no notice of the changes , and went on as though nothing had happened .	F
